7/4/2025, 9:44:35 AM 
7/4/2025, 9:44:37 AM 
7/4/2025, 9:44:45 AM 
7/4/2025, 9:44:47 AM 
7/4/2025, 9:44:49 AM 
7/4/2025, 9:44:51 AM 
7/4/2025, 9:44:53 AM 
7/4/2025, 9:44:55 AM 
7/4/2025, 9:44:57 AM 
7/4/2025, 9:44:59 AM 
7/4/2025, 9:45:01 AM 
7/4/2025, 9:45:07 AM 
7/4/2025, 9:45:08 AM 
7/4/2025, 9:45:09 AM 
7/4/2025, 9:45:10 AM 
7/4/2025, 9:45:11 AM 
7/4/2025, 9:45:12 AM 
7/4/2025, 9:45:13 AM 
7/4/2025, 9:45:14 AM 
7/4/2025, 9:45:15 AM 
7/4/2025, 9:45:16 AM 
7/4/2025, 9:45:17 AM 
7/4/2025, 9:45:18 AM 
7/4/2025, 9:45:19 AM 
7/4/2025, 9:45:20 AM 
7/4/2025, 9:45:21 AM 
7/4/2025, 9:45:22 AM 
7/4/2025, 9:45:23 AM 
7/4/2025, 9:45:24 AM 
7/4/2025, 9:45:25 AM 
7/4/2025, 9:45:26 AM 
7/4/2025, 9:45:27 AM 
7/4/2025, 9:45:28 AM 
7/4/2025, 9:45:29 AM 
7/4/2025, 9:45:30 AM 
7/4/2025, 9:45:31 AM 
7/4/2025, 9:45:32 AM 
7/4/2025, 9:45:33 AM 
7/4/2025, 9:45:34 AM 
7/4/2025, 9:45:35 AM 
7/4/2025, 9:45:36 AM 
7/4/2025, 9:45:37 AM 
7/4/2025, 9:45:38 AM 
7/4/2025, 9:45:39 AM 
7/4/2025, 9:45:40 AM 
7/4/2025, 9:45:41 AM 
7/4/2025, 9:45:42 AM 
7/4/2025, 9:45:43 AM 
7/4/2025, 9:45:44 AM 
7/4/2025, 9:45:45 AM 
7/4/2025, 9:45:46 AM 
7/4/2025, 9:45:47 AM 
7/4/2025, 9:45:48 AM 
7/4/2025, 9:45:49 AM 
7/4/2025, 9:45:50 AM 
7/4/2025, 9:45:51 AM 
7/4/2025, 9:45:52 AM 
7/4/2025, 9:45:53 AM 
7/4/2025, 9:45:54 AM 
7/4/2025, 9:45:55 AM 
7/4/2025, 9:45:56 AM 
7/4/2025, 9:45:57 AM 
7/4/2025, 9:45:58 AM 
7/4/2025, 9:45:59 AM 
7/4/2025, 9:46:00 AM 
7/4/2025, 9:46:01 AM 
7/4/2025, 9:46:02 AM 
7/4/2025, 9:46:03 AM 
7/4/2025, 9:46:04 AM 
7/4/2025, 9:46:05 AM 
7/4/2025, 9:46:06 AM 
7/4/2025, 9:46:07 AM 
7/4/2025, 9:46:08 AM 
7/4/2025, 9:46:09 AM 
7/4/2025, 9:46:10 AM 
7/4/2025, 9:46:11 AM 
7/4/2025, 9:46:12 AM 
7/4/2025, 9:46:13 AM 
7/4/2025, 9:46:14 AM 
7/4/2025, 9:46:15 AM 
7/4/2025, 9:46:16 AM 
7/4/2025, 9:46:17 AM 
7/4/2025, 9:46:18 AM 
7/4/2025, 9:46:19 AM 
7/4/2025, 9:46:20 AM 
7/4/2025, 9:46:21 AM 
7/4/2025, 9:46:22 AM 
7/4/2025, 9:46:23 AM 
7/4/2025, 9:46:24 AM 
7/4/2025, 9:46:25 AM 
7/4/2025, 9:46:38 AM 
7/4/2025, 9:46:39 AM 
7/4/2025, 9:46:40 AM 
7/4/2025, 9:46:41 AM 
7/4/2025, 9:46:42 AM 
7/4/2025, 9:46:43 AM 
7/4/2025, 9:46:44 AM 
